symbol,name,close,change,volume,market_cap_basic
OTC:ABIT,ABIT,0.0443,-9.591836734693883,187659,181408926
NASDAQ:ABL,ABL,8.83,5.369928400954644,765578,855212359
CBOE:ABLD,ABLD,27.5984,0.13678897850925759,3517,
CBOE:ABLG,ABLG,29.3737,-0.6369663757526611,647,
NASDAQ:ABLLL,ABLLL,25.79,-0.4247104247104226,13660,855212359
CBOE:ABLS,ABLS,22.9369,1.1478793117134,3,
OTC:ABLT,ABLT,77.1,-14.33333333333334,50,2621400
NASDAQ:ABLV,ABLV,1.32,-5.714285714285704,7360,65194698.36000001
OTC:ABLZF,ABLZF,53.727,0.7519783970295845,2761,99051895351.71825
NYSE:ABM,ABM,50.72,-0.09848335631279152,225772,3156378595
OTC:ABMBF,ABMBF,0.0404,6.917906102789388,2500,32578646.186666667
OTC:ABMC,ABMC,1e-06,-99,45045,48
OTC:ABMRF,ABMRF,21.365,1.4000949216895973,1287,17983997715.07809
OTC:ABMT,ABMT,0.0004,0,4154,40000
OTC:ABNAF,ABNAF,0.0513,1.5841584158415745,10000,1191905.4825
NASDAQ:ABNB,ABNB,127.04,0.5142811931323725,6145152,79579479622
AMEX:ABNY,ABNY,11.9519,0.7196730291155768,4382,
NASDAQ:ABOS,ABOS,0.9801,-1.9900000000000029,129708,59368013
CBOE:ABOT,ABOT,35.31,-0.4625910171082499,1543,
NASDAQ:ABP,ABP,0.2,3.0927835051546415,434069,10352472
OTC:ABQQ,ABQQ,0.00025,-16.666666666666657,2333738,1570317
NYSE:ABR,ABR,10.36,-0.2887391722810504,2748049,1990779943
NYSE:ABR/PD,ABR/PD,17.47,-0.4558404558404663,10660,1990779943
NYSE:ABR/PE,ABR/PE,17.2299,1.2332549941245659,8589,1990779943
NYSE:ABR/PF,ABR/PF,21.1632,1.3563218390804634,8699,1990779943
OTC:ABRMF,ABRMF,0.165,-13.157894736842103,3500,13620457.812500002
OTC:ABSCF,ABSCF,1.6,1.9108280254777086,340,92528463.84720328
NASDAQ:ABSI,ABSI,2.75,-1.7857142857142794,2105944,350758165
OTC:ABSSF,ABSSF,2.993,2.4999999999999982,1235,81201751.25889422
NYSE:ABT,ABT,133.24,-0.5671641791044708,4976167,231815831192.99997
NASDAQ:ABTS,ABTS,8.41,260.9442060085837,5983429,19934322.999999996
NASDAQ:ABUS,ABUS,3.23,-2.1212121212121167,640237,618481031
NASDAQ:ABVC,ABVC,1.21,-8.33333333333334,294952,20295648
NASDAQ:ABVE,ABVE,0.8999,-5.522309711286087,507572,25676591
OTC:ABVG,ABVG,1e-06,0,100000,3.0029999999999997
OTC:ABVN,ABVN,2,0,1030,11066000
NASDAQ:ABVX,ABVX,6.71,-2.0437956204379515,17236,439337099.01426
OTC:ABWN,ABWN,1e-06,0,1000000,4862.69
OTC:ABXXF,ABXXF,6.87,3.3082706766917256,27084,235146360
OTC:ABZPY,ABZPY,13.21,-8.896551724137925,720,4715835443.14245
NYSE:AC,AC,36.17,1.6296712559707733,3416,764774857
NYSE:ACA,ACA,87,0.2188687939177488,249259,4246999466
